Strain	Species	Genus	Family	Class	correction	
743	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
745	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
752	Stauroneis_phoenicenteron	Stauroneis	Stauroneidaceae	Bacillariophyceae	1	
753	Thalassiosira_pseudonana	Thalassiosira	Stephanodiscaceae	Coscinodiscophyceae	1	
758	Pinnularia_neomajor	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
762	Neidium_dubium	Neidium	Neidiaceae	Bacillariophyceae	1	
764	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
767	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1	
768	Surirella_angusta	Surirella	Surirellaceae	Bacillariophyceae	1	
769	Nitzschia_recta	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
771	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
774	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
777	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1	
778	Planothidium_lanceolatum	Planothidium	Achnanthidiaceae	Bacillariophyceae	1	
779	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
783	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1	
785	Pinnularia_sp.	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
787	Nitzschia_sigmoidea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
791	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
794	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1	
795	Nitzschia_recta	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
796	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1	
800	Navicula_sp.	Navicula	Naviculaceae	Bacillariophyceae	1	
802	Reimeria_sinuata	Reimeria	Gomphonemataceae	Bacillariophyceae	1	
804	Encyonema_silesiacum	Encyonema	Cymbellaceae	Bacillariophyceae	1	
806	Nitzschia_paleacea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
809	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1	
816	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1	
817	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
818	Parlibellus_protracta	Parlibellus	Berkeleyaceae	Bacillariophyceae	1	
819	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
823	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
826	Encyonema_minutum	Encyonema	Cymbellaceae	Bacillariophyceae	1	
836	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
837	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1	
839	Hannaea_arcus	Hannaea	Fragilariaceae	Bacillariophyceae	1	
840	Psammothidium_bioretii	Psammothidium	Achnanthidiaceae	Bacillariophyceae	1	
841	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1	
842	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
843	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1	
844	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
846	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
847	Encyonema_silesiacum	Encyonema	Cymbellaceae	Bacillariophyceae	1	
848	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
849	Meridion_circulare	Meridon	Fragilariaceae	Bacillariophyceae	1	
850	Nitzschia_cf.	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
853	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
855	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
860	Reimeria_sinuata	Reimeria	Gomphonemataceae	Bacillariophyceae	1	
865	Planothidium_lanceolatum	Planothidium	Achnanthidiaceae	Bacillariophyceae	1	
866	Nitzschia_dissipata	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
867	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1	
868	Nitzschia_dissipata	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
869	Navicula_upsaliensis	Navicula	Naviculaceae	Bacillariophyceae	1	
875	Gomphonema_acuminatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
876	Stephanodiscus_hantzschii	Stephanodiscus	Stephanodiscaceae	Coscinodiscophyceae	1	
881	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
883	Thalassiosira_weissfloggii	Thalassiosira	Stephanodiscaceae	Coscinodiscophyceae	1	
886	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1	
893	Sellaphora_seminulum	Sellaphora	Sellaphoraceae	Bacillariophyceae	1	
901	Gomphonema_clavatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
905	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
906	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
907	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
910	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
911	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
912	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
913	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
914	Planothidium_frequentissimum	Planothidium	Achnanthidiaceae	Bacillariophyceae	1	
s495	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
gDQ514780	Cyclotella_distinguenda	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1	
gHQ912451	Staurosira_construens	Staurosira	Fragilariaceae	Fragilariophyceae	1	
gHQ828193	Staurosira_elliptica	Staurosira	Fragilariaceae	Fragilariophyceae	1	
gHQ912474	Denticula_sp.	Denticula	Bacillariaceae	Bacillariophyceae	1	
gHQ912403	Amphora_pediculus	Amphora	Catenulaceae	Bacillariophyceae	0.625	
iDTM113_247	Diatoma_sp	Diatoma	Fragilariaceae	Bacillariophyceae	1	
nAJ579569	Botrydiopsis_callosa	Botrydiopsis	Botryidiopsidaceae	Xanthophyceae	1	
nJN573801	Heterococcus_sp	Heterococcus	Heteropediaceae	Tribonematales	1	
nDTM99_49	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nDTM99_33	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681222	Heterococcus_mainxii	Heterococcus	Heteropediaceae	Xanthophyceae	1	
nKC309594	Actinocyclus_sp	Actinocyclus	Hemidiscaceae	Coscinodiscophyceae	1	
iDTM98_32	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
nEF426797	Xanthonema_tribonematoides	Xanthonema	Tribonemataceae	Xanthophyceae	1	
iDTM42_2671	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
iDTM42_719	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
iDTM44_274	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
iDTM42_1080	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
iDTM96_900	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
gAM710427	Eolimna_minima	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
gEF143279	Sellaphora_cf_minima	Sellaphora	Sellaphoraceae	Bacillariophyceae	1	
gJQ610175	Eolimna_sp_Styx	Eolimna	Sellaphoraceae	Bacillariophyceae	1	
gKF959642	Sellaphora_minima	Sellaphora	Sellaphoraceae	Bacillariophyceae	1	
gAM710428	Eunotia_formica 	Eunotia	Eunotiaceae	Bacillariophyceae	1	
iDTM100_4	Achnanthes_oblongella	Achnanthes	Achnanthaceae	Bacillariophyceae	1	
iDTM47_46	Eunotia_cf_formica	Eunotia	Eunotiaceae	Bacillariophyceae	1	
iDTM42_17	Achnanthes_conspica	Achnanthes	Achnanthaceae	Bacillariophyceae	1	
nKC346361	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nKC184837	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nKF523915	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nKF523912	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nKF523909	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nKF523894	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX860519	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX860518	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJQ967036	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ710633	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ710608	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681226	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681225	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681224	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681223	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681222	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681221	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681220	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681219	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681218	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681217	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681216	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681215	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681214	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681213	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681212	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681211	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681210	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681209	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681208	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681207	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681206	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681205	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681204	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681203	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681202	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJX681201	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJN573802	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nJN573801	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nNC_011600	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184455	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184452	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184451	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184450	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184449	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184448	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184447	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184444	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184443	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHQ184441	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455952	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455947	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455934	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nBFU89900	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460494	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460493	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460492	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460491	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460490	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF460489	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431850	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431849	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431848	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431847	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF431846	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426795	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426793	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF426792	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455981	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455980	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455979	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455978	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455976	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455974	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455973	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455971	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455969	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455968	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455967	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455965	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455963	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455961	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455960	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455959	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455958	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455954	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455950	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455949	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455946	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455945	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455944	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455943	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455942	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455941	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455940	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455929	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455928	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455927	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455926	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455924	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455923	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nEF455921	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHE573283	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHE573282	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHE573281	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHE573280	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nHE573279	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682460	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682459	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682458	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682457	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682456	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682455	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682454	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682453	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682452	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682451	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682450	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682449	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682448	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682447	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682446	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682445	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682444	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682443	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682442	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682441	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682440	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682439	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682438	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682437	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682436	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682435	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682434	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682433	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682432	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682431	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682430	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682429	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682428	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682427	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682426	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682425	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682424	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682423	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682422	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682421	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682420	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682419	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682418	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682417	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682416	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682415	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682414	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682413	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682412	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682411	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682410	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682409	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682408	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682407	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682406	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682405	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682404	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682403	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682402	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682401	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682400	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682399	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682398	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAY682397	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476958	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476957	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476956	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476955	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476954	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476953	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476952	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476951	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476950	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476949	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476948	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
nAF476947	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	Yellow_green_Algae	1	
